-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
0.988036 -0.236982 3.29456
0.995682 -0.237867 3.5096
0.930322 -0.23359 3.48857
0.830618 -0.232929 3.36722
0.888174 -0.236612 3.51009
0.899534 -0.236672 3.53675
0.859269 -0.236172 3.42613
0.932457 -0.237248 3.57957
0.940472 -0.24039 3.55331
2.11375 -0.0987951 7.26325
0.964354 -0.240211 3.5507
0.978824 -0.238358 3.57479
0.930524 -0.231336 3.44841
1.00759 -0.231711 3.61707
6.10293 0.309268 10.0104
8.16702 0.705857 10.0169
-1.83818 0.1213 -6.17036
0.965907 -0.220008 3.41352
8.6184 0.326588 10.0191
1.09761 -0.21942 3.67465
8.7201 -0.0946908 10.0143
0.976071 -0.217049 3.39858
5.14833 0.626587 10.0016
0.853086 -0.208357 3.44412
0.816268 -0.214108 3.60276
0.698882 -0.198788 3.71556
0.523161 -0.192127 3.5191
0.429616 -0.182844 3.52613
0.372813 -0.178355 3.54896
0.400648 -0.166852 3.83996
0.337998 -0.17261 3.55803
1.84324 0.494712 9.97943
0.36853 -0.172665 3.56822
0.383725 -0.170942 3.57532
0.409092 -0.170758 3.61701
0.463918 -0.173371 3.79848
0.42617 -0.173676 3.59252
0.492303 -0.171749 3.83123
3.2913 0.799853 9.99038
0.508935 -0.169662 3.84845
0.51198 -0.172564 3.80397
3.8041 0.900718 10.0156
2.90352 0.517939 10.0333
0.532378 -0.161866 3.85823
0.529319 -0.165482 3.8374
0.533305 -0.164209 3.83015
0.53132 -0.168295 3.85423
0.533619 -0.169748 3.87413
0.525875 -0.174617 3.87521
0.518351 -0.183287 3.83447
0.513734 -0.188037 3.8295
9.55953 2.37868 10.0152
0.448463 -0.250231 3.81365
0.369154 -0.262146 3.86396
0.28022 -0.267729 3.8068
0.262779 -0.27237 3.9033
0.235426 -0.287903 3.83397
0.174119 -0.282179 3.78043
0.164791 -0.287524 3.8939
0.114845 -0.282594 3.72267
0.125841 -0.290009 3.89361
0.0704178 -0.278957 3.66863
0.0469816 -0.276651 3.62474
0.0314693 -0.279767 3.6378
0.00850456 -0.281292 3.63534
-0.0179756 -0.275978 3.63168
-0.0414286 -0.277309 3.59691
-0.0662034 -0.277456 3.60536
-0.0956928 -0.270636 3.57972
-0.0954293 -0.279122 4.06373
-0.141115 -0.272755 3.61878
-0.148628 -0.277168 4.07203
-0.186428 -0.26956 3.58119
-0.20507 -0.27295 3.55953
-0.224948 -0.273898 3.60964
-0.247375 -0.272533 3.5951
-5.72426 1.37977 9.98057
-0.675139 -0.155101 9.00023
-0.295359 -0.264927 3.82703
-0.316521 -0.26883 3.78283
-0.344902 -0.263839 3.55667
-0.374751 -0.264729 3.76076
-19.9958 9.78806 9.99753
-0.364033 -0.244518 3.51561
-0.311871 -0.244068 3.48501
-0.272337 -0.234301 3.46453
0.233934 0.236334 -3.72417
-0.232307 -0.235331 3.49778
-0.246122 -0.238621 3.61944
-0.28596 -0.234761 3.43684
-0.313068 -0.237808 3.4195
